,Car Name,Kilometers Driven,Fuel Type,Transmission Type,Price,City,Year,Brand
754,Toyota Fortuner,"28,000 km",Petrol,Automatic,Rs. 40 Lakh,Chandigarh,2023,Toyota
755,Maruti Suzuki Alto 800,"62,000 km",Petrol,Manual,Rs. 3.5 Lakh,Chandigarh,2019,Maruti
756,Maruti Suzuki Swift DZire,"85,450 km",Diesel,Manual,Rs. 3.85 Lakh,Chandigarh,2014,Maruti
757,Hyundai Verna,"80,000 km",Petrol,Manual,Rs. 9 Lakh,Chandigarh,2019,Hyundai
758,Maruti Suzuki Baleno,"21,458 km",Petrol,Automatic,Rs. 6.25 Lakh,Chandigarh,2017,Maruti
759,Mahindra Thar,"23,000 km",Diesel,Manual,Rs. 15 Lakh,Chandigarh,2023,Mahindra
760,Renault Kwid,"1,05,000 km",Petrol,Manual,Rs. 2.5 Lakh,Chandigarh,2018,Renault
761,Maruti Suzuki Ignis,"36,000 km",Petrol,Manual,Rs. 4.2 Lakh,Chandigarh,2018,Maruti
762,Volkswagen Polo,"50,000 km",Petrol,Manual,Rs. 5.5 Lakh,Chandigarh,2019,Volkswagen
763,Maruti Suzuki Alto,"1,50,000 km",Petrol,Manual,Rs. 1 Lakh,Chandigarh,2006,Maruti
764,Maruti Suzuki Alto,"1,10,000 km",Petrol,Manual,Rs. 1.5 Lakh,Chandigarh,2009,Maruti
765,Maruti Suzuki S-Cross,"85,000 km",Petrol,Manual,Rs. 6.5 Lakh,Chandigarh,2021,Maruti
766,Maruti Suzuki Vitara Brezza,"64,000 km",Diesel,Manual,Rs. 7 Lakh,Chandigarh,2019,Maruti
767,Hyundai Creta,"80,000 km",Petrol,Manual,Rs. 8.5 Lakh,Chandigarh,2019,Hyundai
768,Tata Indigo eCS,"1,50,000 km",Diesel,Manual,Rs. 1 Lakh,Chandigarh,2015,Tata
769,Toyota Etios,"1,80,000 km",Diesel,Manual,Rs. 2 Lakh,Chandigarh,2012,Toyota
770,Honda Amaze,"1,35,000 km",Diesel,Manual,Rs. 3 Lakh,Chandigarh,2015,Honda
771,Maruti Suzuki S-Cross,"1,50,000 km",Diesel,Manual,Rs. 6.5 Lakh,Chandigarh,2015,Maruti
772,Hyundai Verna,"1,35,000 km",Diesel,Manual,Rs. 9 Lakh,Chandigarh,2019,Hyundai
773,Maruti Suzuki Alto K10,"72,100 km",Petrol,AMT,Rs. 3.4 Lakh,Chandigarh,2016,Maruti
774,Hyundai Creta,"97,600 km",Diesel,Manual,Rs. 9.2 Lakh,Chandigarh,2019,Hyundai
