,Car Name,Kilometers Driven,Fuel Type,Transmission Type,Price,City,Year,Brand
358,Mahindra TUV300,"48,750 km",Diesel,AMT,Rs. 7.25 Lakh,Bangalore,2017,Mahindra
359,Tata Altroz,"31,195 km",Petrol,Manual,Rs. 7.95 Lakh,Bangalore,2021,Tata
360,Hyundai Elite i20,"39,192 km",Petrol,Automatic,Rs. 7.95 Lakh,Bangalore,2019,Hyundai
361,Hyundai Venue,"31,801 km",Petrol,Manual,Rs. 8.25 Lakh,Bangalore,2020,Hyundai
362,Hyundai Creta,"36,680 km",Petrol,Manual,Rs. 9.75 Lakh,Bangalore,2016,Hyundai
363,Mahindra Thar,"32,000 km",Diesel,Manual,Rs. 16.5 Lakh,Bangalore,2022,Mahindra
364,Mahindra XUV700,"32,145 km",Petrol,Automatic,Rs. 25 Lakh,Bangalore,2022,Mahindra
365,Mahindra XUV700,"32,000 km",Petrol,Automatic,Rs. 25 Lakh,Bangalore,2022,Mahindra
366,Hyundai Grand i10,"53,285 km",Petrol,Automatic,Rs. 5.35 Lakh,Bangalore,2017,Hyundai
367,Volkswagen Ameo,"54,525 km",Petrol,Manual,Rs. 6.15 Lakh,Bangalore,2019,Volkswagen
368,Hyundai Elite i20,"82,848 km",Diesel,Manual,Rs. 6.4 Lakh,Bangalore,2018,Hyundai
369,Hyundai Elite i20,"62,710 km",Petrol,Manual,Rs. 6.45 Lakh,Bangalore,2017,Hyundai
370,Tata Altroz,"64,459 km",Petrol,Manual,Rs. 7.25 Lakh,Bangalore,2021,Tata
371,Tata Nexon,"54,767 km",Petrol,AMT,Rs. 7.95 Lakh,Bangalore,2019,Tata
372,Maruti Suzuki S-Cross,"51,737 km",Diesel,Manual,Rs. 8.45 Lakh,Bangalore,2017,Maruti
373,Maruti Suzuki Vitara Brezza,"81,451 km",Diesel,Manual,Rs. 8.75 Lakh,Bangalore,2017,Maruti
374,Hyundai Creta,"57,093 km",Petrol,Automatic,Rs. 11.25 Lakh,Bangalore,2018,Hyundai
375,Honda Jazz,"32,051 km",Diesel,Manual,Rs. 5.75 Lakh,Bangalore,2016,Honda
376,Honda Jazz,"47,660 km",Petrol,Automatic,Rs. 6.55 Lakh,Bangalore,2016,Honda
377,Renault Triber,"32,485 km",Petrol,Manual,Rs. 6.85 Lakh,Bangalore,2019,Renault
378,Maruti Suzuki Swift,"42,404 km",Petrol,AMT,Rs. 6.95 Lakh,Bangalore,2018,Maruti
379,Maruti Suzuki Ertiga,"42,217 km",Petrol,Manual,Rs. 7.75 Lakh,Bangalore,2017,Maruti
380,Tata Nano,"17,000 km",Petrol,AMT,Rs. 2.8 Lakh,Bangalore,2016,Tata
381,Nissan Micra Active,"17,511 km",Petrol,Manual,Rs. 3.75 Lakh,Bangalore,2015,Nissan
382,Ford Fiesta Classic,"54,350 km",Diesel,Manual,Rs. 3.95 Lakh,Bangalore,2014,Ford
383,Maruti Suzuki S-Presso,"27,629 km",Petrol,Manual,Rs. 4.95 Lakh,Bangalore,2021,Maruti
384,Renault Kwid,"4,150 km",Petrol,AMT,Rs. 5.25 Lakh,Bangalore,2020,Renault
385,Maruti Suzuki Celerio,"25,545 km",Petrol,Manual,Rs. 5.35 Lakh,Bangalore,2019,Maruti
386,Tata Altroz,"25,705 km",Petrol,Manual,Rs. 5.95 Lakh,Bangalore,2020,Tata
387,Maruti Suzuki Ciaz,"56,710 km",Petrol,Manual,Rs. 6.45 Lakh,Bangalore,2016,Maruti
388,Volkswagen Ameo,"29,413 km",Petrol,Manual,Rs. 6.5 Lakh,Bangalore,2018,Volkswagen
389,Maruti Suzuki Baleno,"54,013 km",Petrol,Manual,Rs. 6.85 Lakh,Bangalore,2017,Maruti
390,Hyundai Grand i10,"35,100 km",Petrol,Automatic,Rs. 5.95 Lakh,Bangalore,2016,Hyundai
391,Maruti Suzuki Ciaz,"45,483 km",Petrol,Manual,Rs. 6.2 Lakh,Bangalore,2015,Maruti
392,Renault Duster,"48,950 km",Petrol,Manual,Rs. 6.95 Lakh,Bangalore,2017,Renault
393,Maruti Suzuki Baleno,"42,341 km",Petrol,Automatic,Rs. 7.25 Lakh,Bangalore,2018,Maruti
394,Tata Nexon,"45,226 km",Petrol,Manual,Rs. 7.55 Lakh,Bangalore,2018,Tata
395,Maruti Suzuki Baleno,"31,185 km",Petrol,Manual,Rs. 7.75 Lakh,Bangalore,2021,Maruti
396,Maruti Suzuki Baleno,"32,000 km",Petrol,Manual,Rs. 9.25 Lakh,Bangalore,2022,Maruti
397,Hyundai Fluidic Verna,"93,898 km",Diesel,Automatic,Rs. 4.5 Lakh,Bangalore,2012,Hyundai
398,Hyundai Grand i10,"52,708 km",Diesel,Manual,Rs. 4.5 Lakh,Bangalore,2014,Hyundai
399,Ford Figo,"57,091 km",Diesel,Manual,Rs. 5.55 Lakh,Bangalore,2017,Ford
400,Renault Lodgy,"67,046 km",Diesel,Manual,Rs. 6.1 Lakh,Bangalore,2015,Renault
401,Volkswagen Polo,"53,450 km",Petrol,Automatic,Rs. 6.45 Lakh,Bangalore,2014,Volkswagen
402,Maruti Suzuki Baleno,"72,065 km",Petrol,Manual,Rs. 6.5 Lakh,Bangalore,2019,Maruti
403,Renault Duster,"71,603 km",Diesel,Manual,Rs. 6.65 Lakh,Bangalore,2015,Renault
404,Volkswagen Ameo,"70,554 km",Diesel,Manual,Rs. 6.75 Lakh,Bangalore,2017,Volkswagen
405,Mahindra XUV500,"87,841 km",Diesel,Manual,Rs. 8.45 Lakh,Bangalore,2015,Mahindra
406,Mahindra XUV500,"64,600 km",Diesel,Manual,Rs. 8.95 Lakh,Bangalore,2014,Mahindra
407,Mahindra XUV500,"58,833 km",Diesel,Manual,Rs. 9.15 Lakh,Bangalore,2015,Mahindra
408,Hyundai Venue,"51,154 km",Diesel,Manual,Rs. 9.45 Lakh,Bangalore,2019,Hyundai
409,Mahindra XUV500,"39,685 km",Diesel,Automatic,Rs. 10 Lakh,Bangalore,2017,Mahindra
410,Mahindra XUV500,"44,623 km",Diesel,Manual,Rs. 11 Lakh,Bangalore,2015,Mahindra
411,Volkswagen Polo,"1,01,426 km",Diesel,Manual,Rs. 3.75 Lakh,Bangalore,2012,Volkswagen
412,Skoda Rapid,"89,480 km",Diesel,Manual,Rs. 3.95 Lakh,Bangalore,2012,Skoda
413,Skoda Rapid,"1,00,900 km",Diesel,Manual,Rs. 4.25 Lakh,Bangalore,2012,Skoda
414,Skoda Rapid,"1,01,909 km",Diesel,Manual,Rs. 4.5 Lakh,Bangalore,2012,Skoda
415,Mahindra XUV500,"67,146 km",Diesel,Manual,Rs. 9.5 Lakh,Bangalore,2014,Mahindra
416,Hyundai Grand i10,"37,888 km",Petrol,Manual,Rs. 4.7 Lakh,Bangalore,2015,Hyundai
417,Ford EcoSport,"71,490 km",Diesel,Manual,Rs. 7.25 Lakh,Bangalore,2016,Ford
418,Maruti Suzuki S-Cross,"58,000 km",Diesel,Manual,₹ 8.25 L,Bangalore,2018,Maruti
419,Honda City,"16,062 km",Petrol,Manual,Rs. 7 Lakh,Kolkata,2018,Honda
420,Maruti Suzuki Swift DZire,"33,991 km",Petrol,Manual,Rs. 4.5 Lakh,Kolkata,2018,Maruti
421,Mahindra KUV100,"21,500 km",Petrol,Manual,Rs. 3.5 Lakh,Kolkata,2017,Mahindra
422,Maruti Suzuki Swift,"75,000 km",Diesel,Manual,Rs. 5.5 Lakh,Kolkata,2018,Maruti
423,Hyundai Verna,"26,884 km",Petrol,Manual,Rs. 5.5 Lakh,Kolkata,2018,Hyundai
424,Hyundai i20,"29,988 km",Petrol,Manual,Rs. 7.25 Lakh,Kolkata,2021,Hyundai
425,Hyundai Tucson,"12,241 km",Petrol,Manual,Rs. 7.75 Lakh,Kolkata,2018,Hyundai
426,Kia Carens,"19,652 km",Petrol,Manual,Rs. 12 Lakh,Kolkata,2023,Kia
427,Mahindra Thar,"10,495 km",Diesel,Manual,Rs. 14.5 Lakh,Kolkata,2023,Mahindra
428,Mahindra Thar,"15,800 km",Diesel,Manual,Rs. 14.5 Lakh,Kolkata,2023,Mahindra
429,Datsun Redi GO,"38,664 km",Petrol,Manual,Rs. 2 Lakh,Kolkata,2018,Datsun
430,Mahindra XUV300,"42,028 km",Diesel,Manual,Rs. 8.5 Lakh,Kolkata,2019,Mahindra
431,Honda Amaze,"58,856 km",Petrol,Manual,Rs. 2.99 Lakh,Kolkata,2016,Honda
432,Maruti Suzuki Swift DZire,"25,448 km",Diesel,Manual,Rs. 3.5 Lakh,Kolkata,2017,Maruti
433,Mahindra KUV100,"55,872 km",Diesel,Manual,Rs. 3.5 Lakh,Kolkata,2017,Mahindra
434,Ford EcoSport,"65,200 km",Diesel,Manual,Rs. 4.25 Lakh,Kolkata,2017,Ford
435,Maruti Suzuki Swift,"4,20,000 km",Petrol,Manual,Rs. 5 Lakh,Kolkata,2018,Maruti
436,Ford EcoSport,"26,200 km",Petrol,Manual,Rs. 5.5 Lakh,Kolkata,2021,Ford
437,Tata Nexon,"61,218 km",Petrol,Manual,Rs. 6 Lakh,Kolkata,2018,Tata
438,Maruti Suzuki Ciaz,"86,000 km",Petrol,Manual,Rs. 6.5 Lakh,Kolkata,2017,Maruti
439,Mahindra XUV500,"73,978 km",Diesel,Manual,Rs. 9.75 Lakh,Kolkata,2020,Mahindra
440,Maruti Suzuki Swift DZire,"42,551 km",Diesel,Manual,Rs. 3.85 Lakh,Kolkata,2017,Maruti
441,Mahindra XUV300,"38,855 km",Petrol,Manual,Rs. 9.5 Lakh,Kolkata,2020,Mahindra
442,Jeep Compass,"47,853 km",Diesel,Manual,Rs. 11.5 Lakh,Kolkata,2019,Jeep
443,Maruti Suzuki Wagon R,"83,665 km",Petrol,Manual,Rs. 4.85 Lakh,Kolkata,2019,Maruti
444,Maruti Suzuki Swift,"55,214 km",Petrol,Manual,Rs. 5 Lakh,Kolkata,2020,Maruti
445,Honda Amaze,"27,123 km",Petrol,Manual,Rs. 5.75 Lakh,Kolkata,2023,Honda
446,Hyundai Creta,"85,112 km",Diesel,Manual,Rs. 6 Lakh,Kolkata,2015,Hyundai
447,Hyundai Creta,"81,339 km",Diesel,Manual,Rs. 9 Lakh,Kolkata,2018,Hyundai
448,Mahindra XUV300,"26,600 km",Petrol,Manual,Rs. 9 Lakh,Kolkata,2021,Mahindra
449,Mahindra XUV500,"98,152 km",Diesel,Manual,Rs. 9.5 Lakh,Kolkata,2018,Mahindra
450,Hyundai Creta,"21,072 km",Petrol,Manual,Rs. 10 Lakh,Kolkata,2019,Hyundai
451,Mahindra Thar,"25,885 km",Diesel,Manual,Rs. 12 Lakh,Kolkata,2020,Mahindra
452,Mahindra XUV700,245 km,Diesel,Automatic,Rs. 28.3 Lakh,Kolkata,2024,Mahindra
453,Maruti Suzuki Wagon R,"65,221 km",Petrol,Manual,Rs. 3.5 Lakh,Kolkata,2017,Maruti
454,Maruti Suzuki Wagon R,"77,412 km",Petrol,Manual,Rs. 3.75 Lakh,Kolkata,2017,Maruti
455,Maruti Suzuki A-Star,"47,280 km",Petrol,Manual,Rs. 1.8 Lakh,Kolkata,2011,Maruti
456,Hyundai Verna,"45,825 km",Petrol,Manual,Rs. 2 Lakh,Kolkata,2009,Hyundai
457,Maruti Suzuki Vitara Brezza,"48,966 km",Petrol,Manual,Rs. 6.15 Lakh,Kolkata,2020,Maruti
458,Chevrolet Sail UVA,"1,03,990 km",Petrol,Manual,Rs. 1.45 Lakh,Kolkata,2013,Chevrolet
459,Hyundai EON,"65,236 km",Petrol,Manual,Rs. 1.5 Lakh,Kolkata,2016,Hyundai
460,Hyundai EON,"85,236 km",Petrol,Manual,Rs. 1.85 Lakh,Kolkata,2018,Hyundai
461,Maruti Suzuki Celerio,"66,200 km",Diesel,Manual,Rs. 2.09 Lakh,Kolkata,2016,Maruti
462,Nissan Terrano,"70,172 km",Diesel,Manual,Rs. 3.49 Lakh,Kolkata,2015,Nissan
463,Hyundai Fluidic Verna,"90,633 km",Diesel,Manual,Rs. 4 Lakh,Kolkata,2014,Hyundai
464,Hyundai Creta,"54,269 km",Petrol,Manual,Rs. 6 Lakh,Kolkata,2016,Hyundai
465,Mahindra XUV500,"78,185 km",Diesel,Manual,Rs. 6.25 Lakh,Kolkata,2015,Mahindra
466,Renault Duster,"1,10,000 km",Diesel,Manual,Rs. 6.5 Lakh,Kolkata,2018,Renault
467,Mahindra XUV500,"76,200 km",Diesel,Manual,Rs. 6.5 Lakh,Kolkata,2016,Mahindra
468,Hyundai EON,"75,845 km",Petrol,Manual,Rs. 2.25 Lakh,Kolkata,2017,Hyundai
469,Mahindra KUV100,"53,758 km",Petrol,Manual,Rs. 2.25 Lakh,Kolkata,2016,Mahindra
470,Hyundai i20,"85,214 km",Petrol,Manual,Rs. 3.25 Lakh,Kolkata,2013,Hyundai
471,Ford EcoSport,"58,854 km",Diesel,Manual,Rs. 3.7 Lakh,Kolkata,2016,Ford
472,Nissan Terrano,"42,012 km",Diesel,Manual,Rs. 3.5 Lakh,Kolkata,2014,Nissan
473,SsangYong Rexton W,"57,965 km",Diesel,Automatic,Rs. 3.75 Lakh,Kolkata,2014,SsangYong
474,Tata Nexon EV,"43,571 km",Electric,Automatic,Rs. 13.1 Lakh,Chennai,2021,Tata
475,Mahindra KUV100,"74,472 km",Petrol,Manual,Rs. 3.5 Lakh,Chennai,2016,Mahindra
476,Hyundai Grand i10,"88,000 km",Petrol,Manual,Rs. 4.75 Lakh,Chennai,2019,Hyundai
477,Volkswagen Ameo,"62,000 km",Petrol,Manual,Rs. 5.25 Lakh,Chennai,2017,Volkswagen
478,Honda Jazz,"20,565 km",Petrol,Manual,Rs. 6.2 Lakh,Chennai,2017,Honda
479,Maruti Suzuki Swift,"55,000 km",Petrol,Manual,Rs. 6.25 Lakh,Chennai,2019,Maruti
480,Maruti Suzuki Swift,"79,000 km",Diesel,Manual,Rs. 7 Lakh,Chennai,2019,Maruti
481,Nissan Magnite,"14,000 km",Petrol,Manual,Rs. 7.1 Lakh,Chennai,2022,Nissan
482,Honda Amaze,"52,008 km",Diesel,Automatic,Rs. 7.8 Lakh,Chennai,2019,Honda
483,Hyundai Elite i20,"28,522 km",Petrol,Manual,Rs. 8.35 Lakh,Chennai,2021,Hyundai
484,Honda City,"25,000 km",Petrol,Manual,Rs. 9.5 Lakh,Chennai,2022,Honda
485,Mahindra XUV500,"79,000 km",Diesel,Automatic,Rs. 15.5 Lakh,Chennai,2021,Mahindra
486,Maruti Suzuki Swift,"38,581 km",Petrol,Manual,Rs. 4.1 Lakh,Chennai,2015,Maruti
487,Hyundai EON,"74,777 km",Petrol,Manual,Rs. 3.25 Lakh,Chennai,2014,Hyundai
488,Renault Captur,"71,567 km",Diesel,Manual,Rs. 6.95 Lakh,Chennai,2018,Renault
489,Honda City ZX,"59,365 km",Petrol,Manual,Rs. 10.3 Lakh,Chennai,2019,Honda
490,Mahindra Bolero Neo,"28,343 km",Diesel,Manual,Rs. 12.75 Lakh,Chennai,2021,Mahindra
491,Mahindra XUV700,"20,580 km",Petrol,Automatic,Rs. 26 Lakh,Chennai,2021,Mahindra
492,Renault Kwid,"38,108 km",Petrol,Manual,Rs. 3.25 Lakh,Chennai,2016,Renault
493,Honda WR-V,"37,480 km",Petrol,Manual,Rs. 7.25 Lakh,Chennai,2017,Honda
494,Honda CR-V,"58,000 km",Petrol,Manual,Rs. 2.2 Lakh,Chennai,2011,Honda
495,Hyundai i10,"1,29,000 km",Petrol+LPG,Manual,Rs. 2.25 Lakh,Chennai,2012,Hyundai
496,Maruti Suzuki Swift,"1,43,000 km",Petrol,Manual,Rs. 2.5 Lakh,Chennai,2009,Maruti
497,Ford Figo Aspire,"68,000 km",Diesel,Manual,Rs. 4.5 Lakh,Chennai,2015,Ford
498,Honda Amaze,"81,036 km",Petrol,Manual,Rs. 4.7 Lakh,Chennai,2018,Honda
499,Maruti Suzuki Swift,"1,14,000 km",Diesel,AMT,Rs. 6.6 Lakh,Chennai,2019,Maruti
500,Hyundai Verna,"66,029 km",Diesel,Automatic,Rs. 8.45 Lakh,Chennai,2018,Hyundai
501,Mahindra XUV500,"83,291 km",Diesel,Manual,Rs. 8.85 Lakh,Chennai,2014,Mahindra
502,Audi A4,"58,786 km",Diesel,Automatic,Rs. 14 Lakh,Chennai,2015,Audi
503,Maruti Suzuki Swift,"51,842 km",Diesel,Manual,Rs. 3.2 Lakh,Chennai,2016,Maruti
504,Nissan Micra,"25,848 km",Petrol,AMT,Rs. 3.7 Lakh,Chennai,2018,Nissan
505,Maruti Suzuki Wagon R,"70,301 km",Petrol,AMT,Rs. 3.8 Lakh,Chennai,2016,Maruti
506,Ford Figo Aspire,"1,05,512 km",Diesel,Manual,Rs. 4.5 Lakh,Chennai,2017,Ford
507,Mahindra XUV500,"1,50,000 km",Diesel,Manual,Rs. 5.75 Lakh,Chennai,2013,Mahindra
508,Maruti Suzuki Swift DZire,"54,844 km",Diesel,Manual,Rs. 6.2 Lakh,Chennai,2016,Maruti
509,Renault Triber,"26,525 km",Petrol,Manual,Rs. 6.5 Lakh,Chennai,2020,Renault
510,Hyundai Grand i10 Nios,"9,775 km",Petrol,Manual,Rs. 6.8 Lakh,Chennai,2019,Hyundai
511,Honda City,"50,597 km",Petrol,Manual,Rs. 7.2 Lakh,Chennai,2016,Honda
512,Maruti Suzuki Ertiga,"1,21,000 km",Diesel,Manual,Rs. 7.5 Lakh,Chennai,2014,Maruti
513,Maruti Suzuki Omni,"7,500 km",Petrol,Manual,Rs. 9.75 Lakh,Chennai,2021,Maruti
514,Hyundai Creta,"13,440 km",Petrol,Automatic,Rs. 12.5 Lakh,Chennai,2019,Hyundai
515,Mahindra XUV500,"1,00,000 km",Diesel,Manual,Rs. 8 Lakh,Chennai,2014,Mahindra
516,Mahindra XUV500,"1,47,000 km",Diesel,Manual,Rs. 7 Lakh,Chennai,2014,Mahindra
517,Hyundai EON,"35,625 km",Petrol,Manual,Rs. 2.3 Lakh,Chennai,2017,Hyundai
518,Maruti Suzuki Celerio,"44,814 km",Petrol,AMT,Rs. 4.05 Lakh,Chennai,2016,Maruti
519,Honda Jazz,"42,525 km",Petrol,Manual,Rs. 4.95 Lakh,Chennai,2016,Honda
520,Honda BR-V,"48,081 km",Petrol,Manual,Rs. 6.6 Lakh,Chennai,2016,Honda
521,Maruti Suzuki S-Cross,"42,700 km",Diesel,Manual,Rs. 9 Lakh,Chennai,2019,Maruti
522,Hyundai Creta,"55,566 km",Petrol,Manual,Rs. 1 Lakh,Chennai,2017,Hyundai
523,Tata Venture,"68,598 km",Diesel,Manual,Rs. 1.8 Lakh,Chennai,2015,Tata
524,Tata Bolt,"60,625 km",Petrol,Manual,Rs. 3.1 Lakh,Chennai,2015,Tata
525,Maruti Suzuki Celerio,"62,565 km",Petrol,AMT,Rs. 4.1 Lakh,Chennai,2015,Maruti
526,Hyundai i20 Active,"58,888 km",Petrol,Manual,Rs. 6 Lakh,Chennai,2018,Hyundai
527,Honda Jazz,"87,452 km",Diesel,Manual,Rs. 6.4 Lakh,Chennai,2017,Honda
528,Tata Tigor,"66,899 km",Petrol,Manual,Rs. 7.5 Lakh,Chennai,2018,Tata
529,Maruti Suzuki Vitara Brezza,"58,885 km",Diesel,AMT,Rs. 8.5 Lakh,Chennai,2018,Maruti
530,Maruti Suzuki Swift,"78,000 km",Petrol,Manual,Rs. 2 Lakh,Chennai,2008,Maruti
531,Mahindra TUV300 Plus,"10,000 km",Diesel,Manual,Rs. 9 Lakh,Chennai,2018,Mahindra
532,Tata Aria,"70,332 km",Diesel,Manual,Rs. 4.5 Lakh,Chennai,2014,Tata
533,Maruti Suzuki Baleno,"43,799 km",Diesel,Manual,Rs. 4.95 Lakh,Pune,2017,Maruti
534,Tata Tigor,"42,000 km",Petrol,AMT,Rs. 5.25 Lakh,Pune,2018,Tata
535,Tata Tiago,"35,000 km",Petrol,AMT,Rs. 5.45 Lakh,Pune,2019,Tata
536,Ford EcoSport,"38,000 km",Petrol,Automatic,Rs. 7.9 Lakh,Pune,2018,Ford
537,Skoda Kushaq,"45,000 km",Petrol,Automatic,Rs. 12.49 Lakh,Pune,2021,Skoda
538,Maruti Suzuki Alto K10,"52,000 km",Petrol,AMT,Rs. 3.49 Lakh,Pune,2014,Maruti
539,Hyundai Grand i10,"75,000 km",Petrol,Manual,Rs. 4.2 Lakh,Pune,2015,Hyundai
540,Maruti Suzuki Celerio,"26,648 km",Petrol,Manual,Rs. 4.9 Lakh,Pune,2018,Maruti
541,Hyundai Grand i10,"56,000 km",Petrol,Manual,Rs. 5.25 Lakh,Pune,2016,Hyundai
542,Ford Freestyle,"75,000 km",Diesel,Manual,Rs. 6.49 Lakh,Pune,2019,Ford
543,Mahindra Marazzo,"85,000 km",Diesel,Manual,Rs. 6.99 Lakh,Pune,2019,Mahindra
544,Honda WR-V,"57,000 km",Diesel,Manual,Rs. 8.49 Lakh,Pune,2017,Honda
545,Maruti Suzuki Vitara Brezza,"99,000 km",Diesel,Manual,Rs. 9.21 Lakh,Pune,2019,Maruti
546,Honda City ZX,"57,000 km",Petrol,Automatic,Rs. 9.8 Lakh,Pune,2018,Honda
547,Hyundai Creta,"65,000 km",Diesel,Manual,Rs. 9.81 Lakh,Pune,2016,Hyundai
548,MG Hector Plus,"20,100 km",Diesel,Manual,Rs. 17.49 Lakh,Pune,2021,MG
549,Mahindra XUV700,"59,000 km",Petrol,Manual,Rs. 24.5 Lakh,Pune,2022,Mahindra
550,Maruti Suzuki Wagon R,"32,075 km",Petrol,AMT,Rs. 5.5 Lakh,Pune,2018,Maruti
551,Maruti Suzuki Celerio,"45,000 km",Petrol,AMT,Rs. 3.9 Lakh,Pune,2015,Maruti
552,Hyundai i20,"38,000 km",Petrol,Manual,Rs. 4.1 Lakh,Pune,2014,Hyundai
553,Volkswagen Vento,"44,000 km",Petrol,Automatic,Rs. 6.8 Lakh,Pune,2017,Volkswagen
554,Tata Nexon,"48,434 km",Petrol,Manual,Rs. 6.89 Lakh,Pune,2018,Tata
555,Maruti Suzuki Ciaz,"48,500 km",Petrol,Manual,Rs. 7.1 Lakh,Pune,2017,Maruti
556,Volkswagen Ameo,"44,000 km",Diesel,Automatic,Rs. 7.2 Lakh,Pune,2018,Volkswagen
557,Honda WR-V,"38,236 km",Petrol,Manual,Rs. 8.25 Lakh,Pune,2018,Honda
558,Kia Sonet,"45,022 km",Diesel,Manual,Rs. 8.75 Lakh,Pune,2021,Kia
559,Honda City,"31,556 km",Petrol,Manual,Rs. 11.5 Lakh,Pune,2022,Honda
560,Honda Jazz,"55,000 km",Petrol,Automatic,Rs. 5.4 Lakh,Pune,2015,Honda
561,Ford EcoSport,"55,276 km",Diesel,Manual,Rs. 6.15 Lakh,Pune,2016,Ford
562,Maruti Suzuki Baleno,"66,454 km",Petrol,Automatic,Rs. 6.24 Lakh,Pune,2016,Maruti
563,Volkswagen Polo,"65,000 km",Petrol,Automatic,Rs. 6.7 Lakh,Pune,2016,Volkswagen
564,Honda City,"71,910 km",Petrol,Manual,Rs. 7 Lakh,Pune,2017,Honda
565,Volkswagen Ameo,"92,000 km",Diesel,Manual,Rs. 7.49 Lakh,Pune,2018,Volkswagen
566,Maruti Suzuki Swift DZire,"79,650 km",Diesel,AMT,Rs. 7.75 Lakh,Pune,2018,Maruti
567,Hyundai Creta,"77,000 km",Diesel,Automatic,Rs. 9.8 Lakh,Pune,2016,Hyundai
568,Honda Jazz,"10,000 km",Petrol,Manual,Rs. 9.91 Lakh,Pune,2021,Honda
569,Hyundai Creta,"52,000 km",Petrol,Automatic,Rs. 10.49 Lakh,Pune,2018,Hyundai
570,Kia Seltos,"15,000 km",Diesel,Manual,Rs. 12.9 Lakh,Pune,2019,Kia
571,Maruti Suzuki Wagon R,"50,000 km",Petrol,Manual,Rs. 3.85 Lakh,Pune,2016,Maruti
572,Volkswagen Vento,"36,523 km",Petrol,Manual,Rs. 5.9 Lakh,Pune,2016,Volkswagen
573,Maruti Suzuki Dzire,"41,139 km",Petrol,AMT,Rs. 7.9 Lakh,Pune,2019,Maruti
574,Hyundai Aura,"34,650 km",Petrol+CNG,Manual,Rs. 8.7 Lakh,Pune,2020,Hyundai
575,Maruti Suzuki Vitara Brezza,"50,000 km",Diesel,Manual,Rs. 9.21 Lakh,Pune,2018,Maruti
576,Mahindra XUV300,"34,000 km",Diesel,AMT,Rs. 12.51 Lakh,Pune,2020,Mahindra
577,Honda Amaze,"67,284 km",Petrol,Automatic,Rs. 4.25 Lakh,Pune,2015,Honda
578,Hyundai EON,"16,832 km",Petrol,Manual,Rs. 3 Lakh,Pune,2015,Hyundai
579,Hyundai i10,"59,000 km",Petrol,Automatic,Rs. 3.5 Lakh,Pune,2012,Hyundai
580,Maruti Suzuki Wagon R,"82,000 km",Petrol+CNG,Manual,Rs. 3.85 Lakh,Pune,2013,Maruti
581,Volkswagen Vento,"80,000 km",Diesel,Manual,Rs. 4.71 Lakh,Pune,2014,Volkswagen
582,Mahindra Scorpio,"1,22,365 km",Diesel,Manual,Rs. 5 Lakh,Pune,2012,Mahindra
583,Tata Tiago,"95,566 km",Diesel,Manual,Rs. 5.4 Lakh,Pune,2018,Tata
584,Volkswagen Polo,"65,000 km",Diesel,Manual,Rs. 5.4 Lakh,Pune,2015,Volkswagen
585,Tata Tiago,"72,229 km",Petrol,AMT,Rs. 6 Lakh,Pune,2019,Tata
586,Honda City,"87,415 km",Diesel,Manual,Rs. 6.49 Lakh,Pune,2015,Honda
587,BMW X1,"95,000 km",Diesel,Automatic,Rs. 6.7 Lakh,Pune,2011,BMW
588,Honda City,"97,885 km",Petrol,Manual,Rs. 6.75 Lakh,Pune,2016,Honda
589,Hyundai Grand i10 Nios,"70,000 km",Petrol+CNG,Manual,Rs. 6.91 Lakh,Pune,2020,Hyundai
590,Renault Triber,"53,702 km",Petrol,Manual,Rs. 7.5 Lakh,Pune,2019,Renault
591,Tata Punch,"14,000 km",Petrol,Manual,Rs. 8.9 Lakh,Pune,2022,Tata
592,Mahindra Scorpio,"1,20,000 km",Diesel,Manual,Rs. 9.81 Lakh,Pune,2016,Mahindra
593,Mahindra XUV500,"65,000 km",Diesel,Manual,Rs. 9.9 Lakh,Pune,2015,Mahindra
594,Tata Hexa,"90,000 km",Diesel,AMT,Rs. 10.91 Lakh,Pune,2017,Tata
595,Mercedes-Benz C-Class,"64,000 km",Diesel,Automatic,Rs. 14.95 Lakh,Pune,2013,Mercedes-Benz
596,Mahindra Thar,"60,000 km",Diesel,Manual,Rs. 15.9 Lakh,Pune,2021,Mahindra
597,Honda City,"42,014 km",Petrol,Manual,Rs. 3 Lakh,Pune,2010,Honda
598,Maruti Suzuki SX4,"1,19,702 km",Diesel,Manual,Rs. 3.1 Lakh,Pune,2011,Maruti
599,Mahindra TUV300,"2,30,254 km",Diesel,Manual,Rs. 5.25 Lakh,Pune,2016,Mahindra
600,Maruti Suzuki Wagon R,"74,000 km",Petrol,Manual,Rs. 2.2 Lakh,Pune,2009,Maruti
601,Hyundai i10,"77,788 km",Petrol,Automatic,Rs. 2.3 Lakh,Pune,2009,Hyundai
602,Honda City,"91,000 km",Petrol,Manual,Rs. 3 Lakh,Pune,2010,Honda
603,Honda Brio,"79,640 km",Petrol,Manual,Rs. 3.1 Lakh,Pune,2013,Honda
604,Maruti Suzuki Alto K10,"71,000 km",Petrol,Manual,Rs. 3.5 Lakh,Pune,2018,Maruti
605,Hyundai Grand i10,"1,70,000 km",Petrol,Manual,Rs. 3.8 Lakh,Pune,2014,Hyundai
606,Honda Amaze,"79,500 km",Diesel,Manual,Rs. 4 Lakh,Pune,2013,Honda
607,Honda City,"1,01,145 km",Diesel,Manual,Rs. 5.5 Lakh,Pune,2014,Honda
